id,parent_id,name,path,permission,sort_order,status,menu_type
1,0,工作台,/dashboard/workspace,,1,ENABLED,MENU
149,0,日程管理,/workbench/schedule,schedule:list,2,ENABLED,MENU
701,0,审批中心,/dashboard/approval,approval:list,3,ENABLED,MENU
3,0,客户管理,/crm,,4,ENABLED,DIRECTORY
4,0,项目管理,/matter,,5,ENABLED,DIRECTORY
5,0,财务管理,/finance,,6,ENABLED,DIRECTORY
6,0,卷宗管理,/document,,7,ENABLED,DIRECTORY
8,0,档案管理,/archive,,8,ENABLED,DIRECTORY
9,0,行政管理,/admin,,9,ENABLED,DIRECTORY
10,0,人力资源,/hr,,10,ENABLED,DIRECTORY
11,0,知识库,/knowledge,,11,ENABLED,DIRECTORY
200,0,报表中心,/workbench/report,report:list,12,ENABLED,MENU
207,0,数据交接,/data-handover,,13,ENABLED,MENU
2,0,系统管理,/system,,99,ENABLED,DIRECTORY
130,1,审批列表,,approval:list,1,ENABLED,BUTTON
131,1,审批操作,,approval:approve,2,ENABLED,BUTTON
21,2,用户管理,/system/user,sys:user:list,1,ENABLED,MENU
22,2,角色管理,/system/role,sys:role:list,2,ENABLED,MENU
23,2,部门管理,/system/dept,sys:dept:list,3,ENABLED,MENU
24,2,菜单管理,/system/menu,sys:menu:list,4,ENABLED,MENU
198,2,权限矩阵,/system/permission-matrix,sys:role:list,5,ENABLED,MENU
25,2,系统配置,/system/config,sys:config:list,6,ENABLED,MENU
26,2,操作日志,/system/log,sys:log:list,7,ENABLED,MENU
27,2,出函模板,/system/letter-template,sys:letter-template:list,10,ENABLED,MENU
28,2,合同模板,/system/contract-template,sys:contract-template:list,11,ENABLED,MENU
152,2,期限列表,,deadline:list,11,ENABLED,BUTTON
153,2,期限查看,,deadline:view,12,ENABLED,BUTTON
140,2,提成规则配置,/system/commission-config,system:config:list,12,ENABLED,MENU
154,2,期限创建,,deadline:create,13,ENABLED,BUTTON
155,2,期限编辑,,deadline:edit,14,ENABLED,BUTTON
156,2,期限删除,,deadline:delete,15,ENABLED,BUTTON
159,2,外部系统集成,/system/integration,system:integration:list,99,ENABLED,MENU
31,3,客户列表,/crm/client,client:list,1,ENABLED,MENU
32,3,利冲审查,/crm/conflict,conflict:apply,2,ENABLED,MENU
33,3,案源管理,/crm/lead,lead:list,3,ENABLED,MENU
41,4,项目列表,/matter/list,matter:list,1,ENABLED,MENU
42,4,我的项目,/matter/my,matter:list,2,ENABLED,MENU
45,4,合同管理,/matter/contract,matter:contract:list,3,ENABLED,MENU
148,4,我的合同,/matter/my-contract,matter:contract:view,4,ENABLED,MENU
44,4,任务管理,/matter/task,task:manage,5,ENABLED,MENU
43,4,工时管理,/matter/timesheet,timesheet:record,6,ENABLED,MENU
57,5,我的收款,/finance/my-payment,finance:my:payment,1,ENABLED,MENU
58,5,我的提成,/finance/my-commission,finance:my:commission,2,ENABLED,MENU
108,5,我的工资,/hr/payroll/my,payroll:my:view,3,ENABLED,MENU
59,5,费用报销,/finance/expense,finance:expense:apply,4,ENABLED,MENU
51,5,合同收款概览,/finance/contract,finance:contract:view,10,ENABLED,MENU
52,5,收款管理,/finance/payment,finance:payment:manage,11,ENABLED,MENU
56,5,收款变更审批,/finance/payment-amendment,fee:amendment:list,12,ENABLED,MENU
53,5,提成管理,/finance/commission,finance:commission:manage,13,ENABLED,MENU
107,5,工资管理,/hr/payroll,payroll:list,14,ENABLED,MENU
54,5,发票管理,/finance/invoice,finance:invoice:manage,15,ENABLED,MENU
123,5,合同变更处理,/finance/contract-amendment,finance:contract:amendment:view,16,ENABLED,MENU
55,5,财务报表,/finance/report,finance:report:view,20,ENABLED,MENU
714,6,我的文书,/document/my,doc:my:list,1,ENABLED,MENU
61,6,卷宗列表,/document/list,doc:list,2,ENABLED,MENU
62,6,文书制作,/document/compose,doc:compose,3,ENABLED,MENU
713,6,模板管理,/document/template,doc:template:manage,4,ENABLED,MENU
81,8,档案列表,/archive/list,archive:list,1,ENABLED,MENU
